load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.004
Random Initialization - No Saved Model
| epoch   1 |  7125/39011 batches | lr 0.003927 | ms/batch 466.31 | loss  3.65 | ppl    38.51
| epoch   1 |  7250/39011 batches | lr 0.003926 | ms/batch 469.25 | loss  3.67 | ppl    39.42
| epoch   1 |  7375/39011 batches | lr 0.003924 | ms/batch 526.27 | loss  3.64 | ppl    38.26
| epoch   1 |  7500/39011 batches | lr 0.003923 | ms/batch 470.14 | loss  3.65 | ppl    38.48
| epoch   1 |  7625/39011 batches | lr 0.003922 | ms/batch 474.87 | loss  3.63 | ppl    37.71
| epoch   1 |  7750/39011 batches | lr 0.003921 | ms/batch 480.44 | loss  3.68 | ppl    39.75
| epoch   1 |  7875/39011 batches | lr 0.003919 | ms/batch 477.22 | loss  3.64 | ppl    38.05
| epoch   1 |  8000/39011 batches | lr 0.003918 | ms/batch 479.63 | loss  3.68 | ppl    39.63
| epoch   1 |  8125/39011 batches | lr 0.003917 | ms/batch 474.54 | loss  3.68 | ppl    39.53
| epoch   1 |  8250/39011 batches | lr 0.003915 | ms/batch 477.92 | loss  3.63 | ppl    37.84
| epoch   1 |  8375/39011 batches | lr 0.003914 | ms/batch 478.27 | loss  3.64 | ppl    37.91
| epoch   1 |  8500/39011 batches | lr 0.003913 | ms/batch 477.28 | loss  3.68 | ppl    39.82
| epoch   1 |  8625/39011 batches | lr 0.003912 | ms/batch 480.22 | loss  3.63 | ppl    37.66
| epoch   1 |  8750/39011 batches | lr 0.003910 | ms/batch 497.66 | loss  3.63 | ppl    37.75
| epoch   1 |  8875/39011 batches | lr 0.003909 | ms/batch 496.80 | loss  3.65 | ppl    38.42
| epoch   1 |  9000/39011 batches | lr 0.003908 | ms/batch 465.00 | loss  3.64 | ppl    38.00
| epoch   1 |  9125/39011 batches | lr 0.003906 | ms/batch 465.11 | loss  3.59 | ppl    36.28
| epoch   1 |  9250/39011 batches | lr 0.003905 | ms/batch 466.69 | loss  3.63 | ppl    37.84
| epoch   1 |  9375/39011 batches | lr 0.003904 | ms/batch 465.74 | loss  3.61 | ppl    37.01
| epoch   1 |  9500/39011 batches | lr 0.003903 | ms/batch 466.81 | loss  3.61 | ppl    37.03
| epoch   1 |  9625/39011 batches | lr 0.003901 | ms/batch 464.59 | loss  3.62 | ppl    37.39
| epoch   1 |  9750/39011 batches | lr 0.003900 | ms/batch 464.58 | loss  3.61 | ppl    36.84
| epoch   1 |  9875/39011 batches | lr 0.003899 | ms/batch 465.36 | loss  3.63 | ppl    37.61
| epoch   1 | 10000/39011 batches | lr 0.003897 | ms/batch 465.52 | loss  3.62 | ppl    37.36
| epoch   1 | 10125/39011 batches | lr 0.003896 | ms/batch 466.61 | loss  3.60 | ppl    36.68
| epoch   1 | 10250/39011 batches | lr 0.003895 | ms/batch 465.94 | loss  3.59 | ppl    36.13
| epoch   1 | 10375/39011 batches | lr 0.003894 | ms/batch 466.22 | loss  3.56 | ppl    35.11
| epoch   1 | 10500/39011 batches | lr 0.003892 | ms/batch 465.58 | loss  3.62 | ppl    37.46
| epoch   1 | 10625/39011 batches | lr 0.003891 | ms/batch 464.29 | loss  3.63 | ppl    37.80
| epoch   1 | 10750/39011 batches | lr 0.003890 | ms/batch 466.33 | loss  3.54 | ppl    34.54
| epoch   1 | 10875/39011 batches | lr 0.003888 | ms/batch 466.84 | loss  3.59 | ppl    36.35
