load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
| epoch   1 | 58000/312089 batches | lr 0.10 | ms/batch 146.58 | loss  4.07 | ppl    58.42
| epoch   1 | 59000/312089 batches | lr 0.10 | ms/batch 146.15 | loss  3.98 | ppl    53.58
| epoch   1 | 60000/312089 batches | lr 0.10 | ms/batch 146.62 | loss  4.02 | ppl    55.76
| epoch   1 | 61000/312089 batches | lr 0.10 | ms/batch 146.35 | loss  4.02 | ppl    55.71
| epoch   1 | 62000/312089 batches | lr 0.10 | ms/batch 146.02 | loss  4.19 | ppl    66.07
| epoch   1 | 63000/312089 batches | lr 0.10 | ms/batch 146.40 | loss  4.18 | ppl    65.14
| epoch   1 | 64000/312089 batches | lr 0.10 | ms/batch 146.18 | loss  3.87 | ppl    48.12
| epoch   1 | 65000/312089 batches | lr 0.10 | ms/batch 146.59 | loss  4.07 | ppl    58.57
| epoch   1 | 66000/312089 batches | lr 0.10 | ms/batch 147.72 | loss  3.81 | ppl    45.34
| epoch   1 | 67000/312089 batches | lr 0.10 | ms/batch 146.94 | loss  3.92 | ppl    50.20
| epoch   1 | 68000/312089 batches | lr 0.10 | ms/batch 146.69 | loss  3.93 | ppl    50.96
| epoch   1 | 69000/312089 batches | lr 0.10 | ms/batch 146.69 | loss  3.91 | ppl    49.78
| epoch   1 | 70000/312089 batches | lr 0.10 | ms/batch 146.52 | loss  3.94 | ppl    51.40
| epoch   1 | 71000/312089 batches | lr 0.10 | ms/batch 146.40 | loss  3.84 | ppl    46.43
| epoch   1 | 72000/312089 batches | lr 0.10 | ms/batch 146.40 | loss  3.95 | ppl    51.69
| epoch   1 | 73000/312089 batches | lr 0.10 | ms/batch 146.38 | loss  3.81 | ppl    45.14
| epoch   1 | 74000/312089 batches | lr 0.10 | ms/batch 146.45 | loss  3.95 | ppl    51.93
| epoch   1 | 75000/312089 batches | lr 0.10 | ms/batch 146.46 | loss  3.86 | ppl    47.33
| epoch   1 | 76000/312089 batches | lr 0.10 | ms/batch 146.22 | loss  3.90 | ppl    49.58
| epoch   1 | 77000/312089 batches | lr 0.10 | ms/batch 146.21 | loss  3.97 | ppl    52.81
| epoch   1 | 78000/312089 batches | lr 0.10 | ms/batch 146.51 | loss  4.06 | ppl    58.04
| epoch   1 | 79000/312089 batches | lr 0.10 | ms/batch 146.48 | loss  3.82 | ppl    45.63
| epoch   1 | 80000/312089 batches | lr 0.10 | ms/batch 146.41 | loss  3.90 | ppl    49.20
| epoch   1 | 81000/312089 batches | lr 0.10 | ms/batch 146.43 | loss  3.92 | ppl    50.61
| epoch   1 | 82000/312089 batches | lr 0.10 | ms/batch 148.00 | loss  3.95 | ppl    51.76
| epoch   1 | 83000/312089 batches | lr 0.10 | ms/batch 146.25 | loss  3.92 | ppl    50.43
