load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301026, 3])
#sentences 30301026
load train data - complete
#sentences 6073
load test data - complete
| epoch   1 | 58000/312089 batches | lr 0.01 | ms/batch 209.48 | loss  5.26 | ppl   191.99
| epoch   1 | 59000/312089 batches | lr 0.01 | ms/batch 209.22 | loss  5.25 | ppl   189.83
| epoch   1 | 60000/312089 batches | lr 0.01 | ms/batch 209.37 | loss  5.24 | ppl   187.76
| epoch   1 | 61000/312089 batches | lr 0.01 | ms/batch 209.58 | loss  5.22 | ppl   185.77
| epoch   1 | 62000/312089 batches | lr 0.01 | ms/batch 209.18 | loss  5.21 | ppl   183.83
| epoch   1 | 63000/312089 batches | lr 0.01 | ms/batch 209.58 | loss  5.20 | ppl   181.97
| epoch   1 | 64000/312089 batches | lr 0.01 | ms/batch 209.30 | loss  5.19 | ppl   180.18
| epoch   1 | 65000/312089 batches | lr 0.01 | ms/batch 209.44 | loss  5.18 | ppl   178.44
| epoch   1 | 66000/312089 batches | lr 0.01 | ms/batch 209.43 | loss  5.17 | ppl   176.76
| epoch   1 | 67000/312089 batches | lr 0.01 | ms/batch 209.37 | loss  5.17 | ppl   175.13
| epoch   1 | 68000/312089 batches | lr 0.01 | ms/batch 209.55 | loss  5.16 | ppl   173.56
| epoch   1 | 69000/312089 batches | lr 0.01 | ms/batch 209.44 | loss  5.15 | ppl   172.03
| epoch   1 | 70000/312089 batches | lr 0.01 | ms/batch 209.33 | loss  5.14 | ppl   170.55
| epoch   1 | 71000/312089 batches | lr 0.01 | ms/batch 209.37 | loss  5.13 | ppl   169.11
| epoch   1 | 72000/312089 batches | lr 0.01 | ms/batch 209.42 | loss  5.12 | ppl   167.72
| epoch   1 | 73000/312089 batches | lr 0.01 | ms/batch 209.33 | loss  5.11 | ppl   166.37
| epoch   1 | 74000/312089 batches | lr 0.01 | ms/batch 209.23 | loss  5.11 | ppl   165.05
| epoch   1 | 75000/312089 batches | lr 0.01 | ms/batch 209.27 | loss  5.10 | ppl   163.77
| epoch   1 | 76000/312089 batches | lr 0.01 | ms/batch 209.35 | loss  5.09 | ppl   162.51
| epoch   1 | 77000/312089 batches | lr 0.01 | ms/batch 209.38 | loss  5.08 | ppl   161.31
| epoch   1 | 78000/312089 batches | lr 0.01 | ms/batch 209.23 | loss  5.08 | ppl   160.13
| epoch   1 | 79000/312089 batches | lr 0.01 | ms/batch 209.48 | loss  5.07 | ppl   158.98
| epoch   1 | 80000/312089 batches | lr 0.01 | ms/batch 209.24 | loss  5.06 | ppl   157.87
| epoch   1 | 81000/312089 batches | lr 0.01 | ms/batch 209.35 | loss  5.05 | ppl   156.79
| epoch   1 | 82000/312089 batches | lr 0.01 | ms/batch 209.71 | loss  5.05 | ppl   155.73
| epoch   1 | 83000/312089 batches | lr 0.01 | ms/batch 209.32 | loss  5.04 | ppl   154.70
| epoch   1 | 84000/312089 batches | lr 0.01 | ms/batch 209.34 | loss  5.03 | ppl   153.70
| epoch   1 | 85000/312089 batches | lr 0.01 | ms/batch 209.30 | loss  5.03 | ppl   152.72
| epoch   1 | 86000/312089 batches | lr 0.01 | ms/batch 209.58 | loss  5.02 | ppl   151.77
| epoch   1 | 87000/312089 batches | lr 0.01 | ms/batch 209.42 | loss  5.02 | ppl   150.84
| epoch   1 | 88000/312089 batches | lr 0.01 | ms/batch 209.37 | loss  5.01 | ppl   149.92
| epoch   1 | 89000/312089 batches | lr 0.01 | ms/batch 209.51 | loss  5.00 | ppl   149.03
| epoch   1 | 90000/312089 batches | lr 0.01 | ms/batch 209.56 | loss  5.00 | ppl   148.16
| epoch   1 | 91000/312089 batches | lr 0.01 | ms/batch 209.33 | loss  4.99 | ppl   147.30
| epoch   1 | 92000/312089 batches | lr 0.01 | ms/batch 209.44 | loss  4.99 | ppl   146.47
| epoch   1 | 93000/312089 batches | lr 0.01 | ms/batch 209.22 | loss  4.98 | ppl   145.65
| epoch   1 | 94000/312089 batches | lr 0.01 | ms/batch 209.52 | loss  4.98 | ppl   144.86
| epoch   1 | 95000/312089 batches | lr 0.01 | ms/batch 209.59 | loss  4.97 | ppl   144.08
| epoch   1 | 96000/312089 batches | lr 0.01 | ms/batch 209.40 | loss  4.97 | ppl   143.32
| epoch   1 | 97000/312089 batches | lr 0.01 | ms/batch 209.46 | loss  4.96 | ppl   142.57
| epoch   1 | 98000/312089 batches | lr 0.01 | ms/batch 209.46 | loss  4.95 | ppl   141.83
| epoch   1 | 99000/312089 batches | lr 0.01 | ms/batch 209.40 | loss  4.95 | ppl   141.11
| epoch   1 | 100000/312089 batches | lr 0.01 | ms/batch 209.11 | loss  4.94 | ppl   140.41
| epoch   1 | 101000/312089 batches | lr 0.01 | ms/batch 209.49 | loss  4.94 | ppl   139.71
| epoch   1 | 102000/312089 batches | lr 0.01 | ms/batch 209.22 | loss  4.93 | ppl   139.03
| epoch   1 | 103000/312089 batches | lr 0.01 | ms/batch 209.19 | loss  4.93 | ppl   138.37
